id_material,titulo,tipo,area,nivel,descricao,autor,area_BD,area_Estatística,area_Gestão,area_Hardware,area_IA,area_IoT,area_Programação,area_Segurança,area_UX,nivel_norm,tipo_artigo,tipo_livro,tipo_vídeo
1,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
6,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
7,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
9,Banco de Dados NoSQL,livro,BD,1,Bancos não relacionais modernos,Martin Fowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0
10,IoT Prático,vídeo,IoT,0,Projetos práticos de Internet das Coisas,Adafruit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,Introdução a Algoritmos,livro,Programação,0,Fundamentos de algoritmos e estruturas de dados,Thomas Cormen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,Aprendendo Python,livro,Programação,0,Guia completo para iniciantes em Python,Eric Matthes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,ML Avançado,livro,IA,2,Técnicas avançadas de machine learning,Aurélien Géron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14,Estatística Básica,livro,Estatística,0,Conceitos fundamentais de estatística,Mario Triola,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,Deep Learning,vídeo,IA,1,Série sobre redes neurais profundas,Andrew Ng,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
16,Gestão Ágil,artigo,Gestão,1,Metodologias ágeis para gerentes,Jeff Sutherland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
17,Segurança em Redes,livro,Segurança,2,Protegendo infraestruturas de rede,William Stallings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,UX Moderno,artigo,UX,1,Princípios de design centrado no usuário,Don Norman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0
